Model,Accuracy,Precision_Fraud,Recall_Fraud,F1_Fraud,AUC_ROC
Logistic Regression (balanced),0.9754748779888347,0.060851926977687626,0.9183673469387755,0.11414077362079898,0.9721669425367221
Random Forest (balanced+SMOTE),0.9995084442259752,0.9605263157894737,0.7448979591836735,0.8390804597701149,0.952908497036969
